CITY,STATE,COUNTRY,GENDER,AGE,MARITAL_STATUS,PROFESSION,REPELLENT_NEGTWEETS,TENT_NEGTWEETS,REPELLENT,TENT
Bossier City,LA,United States,M,28,Single,Student,5,2,FALSE,TRUE
Linz,NA,Austria,M,28,Single,Other,6,2,FALSE,TRUE
Perugia,NA,Italy,M,38,Single,Professional,10,2,FALSE,TRUE
Krems,NA,Austria,M,20,Single,Other,7,1,FALSE,TRUE
Flin Flon,MB,Canada,F,39,Married,Other,5,1,FALSE,TRUE
Groningen,NA,Netherlands,M,44,Married,Other,6,1,FALSE,TRUE
San Jose,CA,United States,M,35,Married,Other,5,1,FALSE,TRUE
Burnaby,BC,Canada,F,37,Unspecified,Hospitality,1,2,TRUE,FALSE
Brisbane,Qld,Australia,F,33,Married,Other,8,2,FALSE,TRUE
Singapore,Singapore,Singapore,F,21,Single,Other,2,6,TRUE,FALSE
Huntsville,AL,United States,M,40,Married,Other,5,1,FALSE,TRUE
Tours,NA,France,F,36,Married,Executive,8,2,FALSE,TRUE
Beijing,NA,China,M,41,Married,Sales,7,0,FALSE,TRUE
Västerås,NA,Sweden,M,29,Single,Other,6,2,FALSE,TRUE
Yarmouth,NS,Canada,M,23,Single,Other,6,1,FALSE,TRUE
Changchun,NA,China,M,22,Single,Executive,6,2,FALSE,TRUE
Potsdam,NA,Germany,M,27,Married,Executive,6,2,FALSE,TRUE
Renton,WA,United States,M,30,Single,Trades,9,0,FALSE,TRUE
Bielefeld,NA,Germany,M,34,Married,Sales,9,0,FALSE,TRUE
Besancon,NA,France,M,32,Married,Other,7,3,FALSE,TRUE
Rio de Janeiro,BR-RJ,Brazil,M,30,Single,Professional,6,0,FALSE,TRUE
Shanghai,NA,China,M,26,Single,Trades,7,3,FALSE,TRUE
Dübendorf,NA,Switzerland,F,32,Married,Executive,5,0,FALSE,TRUE
Venezia,NA,Italy,F,46,Married,Other,1,4,TRUE,FALSE
Toronto,ON,Canada,M,23,Single,Other,5,0,FALSE,TRUE
Gwangju,NA,Korea,F,31,Single,Retail,0,2,TRUE,TRUE
Melbourne,Vic,Australia,F,45,Unspecified,Hospitality,8,1,FALSE,TRUE
Barcelona,B,Spain,F,23,Married,Retail,2,6,TRUE,FALSE
Rancho Santa Margarita,CA,United States,F,37,Married,Other,2,8,TRUE,FALSE
Tolyatti,NA,Russia,F,32,Married,Other,3,7,TRUE,FALSE
Perpignan,NA,France,F,34,Married,Other,7,2,FALSE,TRUE
Brisbane,Qld,Australia,F,33,Unspecified,Other,1,4,TRUE,FALSE
Delhi,DL,India,M,24,Single,Other,5,2,FALSE,TRUE
Cancún,NA,Mexico,M,34,Married,Sales,8,2,FALSE,TRUE
Macon,GA,United States,F,36,Unspecified,Hospitality,4,6,TRUE,FALSE
Canberra,ACT,Australia,M,22,Single,Other,5,3,FALSE,TRUE
Silkeborg,NA,Denmark,M,39,Single,Other,6,4,FALSE,TRUE
Haparanda,NA,Sweden,F,38,Single,Retail,3,6,TRUE,FALSE
Manaus,BR-AM,Brazil,F,43,Married,Other,6,2,FALSE,TRUE
Canberra,ACT,Australia,F,40,Married,Other,7,1,FALSE,TRUE
Chennai,NA,India,F,45,Married,Other,6,2,FALSE,TRUE
Ronse,NA,Belgium,F,34,Married,Other,2,6,TRUE,FALSE
Dresden,NA,Germany,F,46,Married,Professional,7,1,FALSE,TRUE
Balneário Camboriú,BR-SC,Brazil,M,24,Single,Sales,3,2,FALSE,TRUE
Nantes,NA,France,M,24,Single,Student,8,2,FALSE,TRUE
Gaspé,QC,Canada,F,47,Married,Hospitality,1,3,TRUE,FALSE
Melbourne,Vic,Australia,M,24,Single,Other,6,2,FALSE,TRUE
Shimla,HP,India,M,24,Single,Executive,4,1,FALSE,TRUE
Singapore,Singapore,Singapore,F,34,Married,Executive,8,3,FALSE,TRUE
Brisbane,Qld,Australia,M,27,Single,Trades,11,1,FALSE,TRUE
Great Yarmouth,NA,United Kingdom,F,39,Unspecified,Other,2,3,TRUE,TRUE
Ajmer,NA,India,F,46,Married,Other,6,2,FALSE,TRUE
Osasco,BR-SP,Brazil,F,38,Married,Other,2,6,TRUE,FALSE
Thunder Bay,ON,Canada,F,37,Single,Retail,2,7,TRUE,FALSE
Qingdao,NA,China,M,28,Single,Other,7,1,FALSE,TRUE
Henderson,NV,United States,F,29,Single,Other,7,1,FALSE,TRUE
Bedford,NH,United States,M,34,Married,Sales,3,5,TRUE,FALSE
Kotka,NA,Finland,M,36,Married,Sales,9,2,FALSE,TRUE
Essen,NA,Germany,M,31,Single,Student,10,1,FALSE,TRUE
Basildon,NA,United Kingdom,F,29,Single,Other,5,2,FALSE,TRUE
Oakland,CA,United States,M,25,Single,Sales,11,2,FALSE,TRUE
Manaus,BR-AM,Brazil,M,44,Married,Executive,4,0,FALSE,TRUE
Los Angeles,CA,United States,M,30,Single,Student,4,1,FALSE,TRUE
São Paulo,BR-SP,Brazil,F,33,Married,Executive,3,1,FALSE,TRUE
Chengdu,NA,China,M,27,Single,Professional,10,2,FALSE,TRUE
Perth,WA,Australia,F,28,Single,Other,2,9,TRUE,FALSE
Pamplona,NA,Spain,M,37,Married,Executive,5,4,FALSE,TRUE
Angers,NA,France,M,28,Single,Other,7,1,FALSE,TRUE
Reston,VA,United States,M,23,Single,Professional,10,2,FALSE,TRUE
Sydney,NSW,Australia,F,39,Married,Other,1,7,TRUE,FALSE
Lafayette,IN,United States,M,20,Single,Other,6,1,FALSE,TRUE
Groningen,NA,Netherlands,M,43,Married,Other,10,2,FALSE,TRUE
Grenoble,NA,France,F,34,Married,Executive,7,3,FALSE,TRUE
Statesboro,GA,United States,M,30,Single,Trades,6,3,FALSE,TRUE
Portsmouth,NA,United Kingdom,M,37,Single,Other,6,2,FALSE,TRUE
Leipzig,NA,Germany,M,30,Married,Other,4,1,FALSE,TRUE
San Francisco,CA,United States,F,32,Married,Other,10,1,FALSE,TRUE
Ufa,NA,Russia,F,22,Married,Other,2,10,TRUE,FALSE
Basel,NA,Switzerland,M,44,Married,Sales,1,2,TRUE,TRUE
St. Pölten,NA,Austria,F,44,Married,Executive,5,1,FALSE,TRUE
Doerun,GA,United States,F,39,Married,Retail,6,1,FALSE,TRUE
Campos dos Goytacazes,BR-RJ,Brazil,M,22,Single,Trades,5,4,FALSE,TRUE
Changsha,NA,China,M,39,Married,Sales,8,2,FALSE,TRUE
Bilbao,BI,Spain,M,34,Married,Other,4,1,FALSE,TRUE
Zaventern,NA,Belgium,M,21,Single,Other,5,2,FALSE,TRUE
Pune,NA,India,F,37,Married,Retail,1,5,TRUE,FALSE
Timóteo,BR-MG,Brazil,M,43,Married,Trades,7,1,FALSE,TRUE
Leicester,NA,United Kingdom,M,29,Single,Other,2,1,FALSE,TRUE
Essen,NA,Germany,F,31,Married,Retail,3,3,TRUE,FALSE
Murmansk,NA,Russia,M,21,Single,Sales,4,2,FALSE,TRUE
Middlesbrough,NA,United Kingdom,M,26,Single,Other,10,3,FALSE,TRUE
Würzburg,NA,Germany,M,39,Married,Trades,5,2,FALSE,TRUE
Melbourne,FL,United States,F,48,Married,Executive,1,1,TRUE,TRUE
Kawasaki,NA,Japan,M,25,Single,Trades,8,1,FALSE,TRUE
Loughton,NA,United Kingdom,F,31,Married,Other,7,2,FALSE,TRUE
Genova,NA,Italy,F,20,Single,Other,9,2,FALSE,TRUE
Maanshan,NA,China,M,35,Married,Executive,7,2,FALSE,TRUE
Bern,NA,Switzerland,M,32,Married,Sales,6,2,FALSE,TRUE
Qiqihaer,NA,China,M,29,Single,Other,7,1,FALSE,TRUE
Enfield,NA,United Kingdom,M,47,Unspecified,Trades,2,6,TRUE,FALSE
San Sebastián,SS,Spain,F,34,Married,Executive,13,0,FALSE,TRUE
Machida,NA,Japan,M,25,Single,Professional,7,1,FALSE,TRUE
Regensburg,NA,Germany,F,32,Married,Other,2,2,TRUE,TRUE
Lanham,MD,United States,M,32,Married,Trades,1,6,TRUE,FALSE
Northampton,NA,United Kingdom,M,23,Single,Sales,6,1,FALSE,TRUE
Pelham,AL,United States,M,39,Married,Other,7,2,FALSE,TRUE
Anchorage,AK,United States,M,21,Single,Sales,6,2,FALSE,TRUE
Chunahn,NA,Korea,M,29,Unspecified,Sales,5,1,FALSE,TRUE
Machida,NA,Japan,F,23,Married,Retail,3,1,TRUE,TRUE
Niterói,BR-RJ,Brazil,F,37,Unspecified,Other,0,6,TRUE,FALSE
Machida,NA,Japan,M,23,Single,Other,6,1,FALSE,TRUE
Brunn am Gebirge,NA,Austria,M,26,Single,Other,7,2,FALSE,TRUE
Helsinki,NA,Finland,M,26,Single,Sales,8,1,FALSE,TRUE
Brescia,BS,Italy,M,38,Married,Other,3,9,TRUE,FALSE
Patuxent River,MD,United States,F,41,Married,Other,6,3,FALSE,TRUE
Brooklyn,NY,United States,F,38,Married,Other,0,7,TRUE,FALSE
Yellowknife,NT,Canada,F,33,Married,Executive,1,4,TRUE,FALSE
Rouen,NA,France,F,32,Married,Other,3,7,TRUE,FALSE
Ecatepec,NA,Mexico,M,22,Single,Other,9,1,FALSE,TRUE
Queensbury,NY,United States,M,30,Married,Executive,2,7,TRUE,FALSE
Berlin,NA,Germany,M,22,Single,Other,5,1,FALSE,TRUE
Bologna,NA,Italy,M,27,Single,Executive,7,2,FALSE,TRUE
Palm Bay,FL,United States,F,41,Married,Executive,6,3,FALSE,TRUE
New York,NY,United States,F,32,Married,Other,0,6,TRUE,FALSE
Brisbane,Qld,Australia,F,35,Married,Other,7,1,FALSE,TRUE
Kelamayi,NA,China,M,24,Single,Other,7,0,FALSE,TRUE
Madrid,M,Spain,F,33,Married,Other,2,6,TRUE,FALSE
Stavropol,NA,Russia,M,29,Single,Trades,6,2,FALSE,TRUE
Pachuca de Soto,NA,Mexico,F,42,Married,Other,5,1,FALSE,TRUE
Ufa,NA,Russia,F,38,Married,Other,10,0,FALSE,TRUE
Perugia,PG,Italy,F,44,Married,Other,7,0,FALSE,TRUE
Lambeth,NA,United Kingdom,F,31,Married,Other,1,5,TRUE,FALSE
Adelaide,SA,Australia,F,36,Unspecified,Other,1,2,TRUE,TRUE
Thunder Bay,ON,Canada,M,32,Single,Other,6,2,FALSE,TRUE
Mulhouse,NA,France,F,24,Married,Other,2,5,TRUE,FALSE
Magnitogorsk,NA,Russia,M,37,Married,Sales,9,2,FALSE,TRUE
Marugame,NA,Japan,M,20,Single,Trades,8,2,FALSE,TRUE
Aguascalientes,NA,Mexico,M,26,Single,Professional,7,3,FALSE,TRUE
Alicante,NA,Spain,M,23,Single,Professional,7,2,FALSE,TRUE
Kenora,ON,Canada,M,37,Married,Other,6,3,FALSE,TRUE
Frogmore,NA,United Kingdom,M,23,Single,Trades,9,3,FALSE,TRUE
Dresden,NA,Germany,M,38,Married,Trades,5,1,FALSE,TRUE
Granada,NA,Spain,M,22,Single,Other,9,1,FALSE,TRUE
Qingdao,NA,China,F,53,Married,Other,6,3,FALSE,TRUE
Singapore,Singapore,Singapore,M,21,Single,Other,8,1,FALSE,TRUE
Alicante,NA,Spain,F,22,Married,Retail,2,5,TRUE,FALSE
Hamburg,NA,Germany,M,24,Single,Professional,7,2,FALSE,TRUE
Kyoto,NA,Japan,M,36,Married,Sales,2,0,TRUE,TRUE
Busan,NA,Korea,F,34,Married,Other,3,9,TRUE,FALSE
Cixi,NA,China,M,21,Single,Trades,6,2,FALSE,TRUE
Köln,NA,Germany,M,22,Single,Trades,13,2,FALSE,TRUE
Salzburg,NA,Austria,M,45,Married,Retired,3,5,TRUE,FALSE
Brisbane,Qld,Australia,M,44,Married,Executive,4,1,FALSE,TRUE
Århus,NA,Denmark,M,20,Single,Sales,7,1,FALSE,TRUE
Lexington,MA,United States,F,21,Married,Other,1,7,TRUE,FALSE
Dübendorf,NA,Switzerland,F,38,Married,Retail,3,5,TRUE,FALSE
San Pedro Garza García,NA,Mexico,M,22,Single,Other,2,3,FALSE,TRUE
Chengdu,NA,China,M,37,Married,Executive,5,0,FALSE,TRUE
Osasco,BR-SP,Brazil,M,24,Single,Executive,4,0,FALSE,TRUE
Campos dos Goytacazes,BR-RJ,Brazil,F,23,Single,Other,6,2,FALSE,TRUE
Uppsala,NA,Sweden,M,26,Single,Trades,8,1,FALSE,TRUE
Osasco,BR-SP,Brazil,M,34,Single,Other,8,4,FALSE,TRUE
Raigarh,MP,India,M,29,Single,Professional,4,1,FALSE,TRUE
Chunahn,NA,Korea,F,34,Married,Executive,6,0,FALSE,TRUE
Québec,QC,Canada,M,37,Married,Other,7,1,FALSE,TRUE
Sydney,NSW,Australia,M,25,Single,Professional,5,1,FALSE,TRUE
Woodcote,NA,United Kingdom,F,29,Married,Other,1,6,TRUE,FALSE
Vancouver,OR,United States,M,32,Single,Other,6,1,FALSE,TRUE
Victoria,NA,Mexico,F,48,Married,Hospitality,2,7,TRUE,FALSE
Timóteo,BR-MG,Brazil,F,43,Married,Other,6,0,FALSE,TRUE
Mysore,MP,India,F,20,Single,Other,5,2,FALSE,TRUE
Halifax,NS,Canada,F,32,Married,Other,4,11,TRUE,FALSE
Kushiro,NA,Japan,M,38,Married,Executive,9,2,FALSE,TRUE
Nimes,NA,France,F,25,Married,Other,2,6,TRUE,FALSE
Córdoba,NA,Spain,M,43,Married,Other,1,2,TRUE,TRUE
Delhi,NCT,India,M,31,Unspecified,Professional,9,0,FALSE,TRUE
Portland,OR,United States,M,32,Married,Other,5,2,FALSE,TRUE
Napoli,NA,Italy,F,43,Unspecified,Hospitality,0,3,TRUE,TRUE
Dresden,NA,Germany,F,36,Unspecified,Other,1,8,TRUE,FALSE
Carson City,NV,United States,M,28,Single,Sales,8,0,FALSE,TRUE
San Nicolás de los Garza,NA,Mexico,M,26,Single,Other,3,3,FALSE,TRUE
Le Havre,NA,France,M,29,Single,Sales,7,2,FALSE,TRUE
Guangzhou,NA,China,F,32,Married,Hospitality,6,1,FALSE,TRUE
Vancouver,BC,Canada,M,31,Married,Executive,9,2,FALSE,TRUE
Osnabrück,NA,Germany,M,22,Single,Other,5,2,FALSE,TRUE
Wiarton,ON,Canada,M,43,Married,Executive,5,2,FALSE,TRUE
Frederikshavn,NA,Denmark,M,41,Married,Other,6,1,FALSE,TRUE
Seattle,WA,United States,F,36,Married,Other,0,6,TRUE,FALSE
Seattle,WA,United States,F,43,Married,Other,2,9,TRUE,FALSE
Sydney,NSW,Australia,F,22,Single,Retail,1,5,TRUE,FALSE
Wuhan,NA,China,F,39,Married,Other,2,0,TRUE,TRUE
Lübeck,NA,Germany,M,34,Married,Sales,8,2,FALSE,TRUE
Saint Paul,MN,United States,M,54,Married,Other,5,3,FALSE,TRUE
Newham,NA,United Kingdom,F,38,Unspecified,Hospitality,7,2,FALSE,TRUE
Overland Park,KS,United States,M,30,Married,Other,5,1,FALSE,TRUE
Sendai,NA,Japan,F,40,Unspecified,Hospitality,6,2,FALSE,TRUE
Heidelberg,NA,Germany,M,26,Single,Other,8,1,FALSE,TRUE
Rennes,NA,France,M,23,Single,Professional,6,1,FALSE,TRUE
Inta,NA,Russia,F,49,Married,Hospitality,3,0,FALSE,TRUE
Toulon,NA,France,M,24,Single,Other,8,1,FALSE,TRUE
New Delhi,NCT,India,F,39,Married,Retail,0,7,TRUE,FALSE
Exton,PA,United States,F,38,Married,Other,1,2,TRUE,TRUE
Bern,NA,Switzerland,F,32,Single,Retail,4,8,TRUE,FALSE
Campbell,CA,United States,M,36,Married,Other,3,2,TRUE,TRUE
Dresden,NA,Germany,F,33,Married,Hospitality,0,2,TRUE,TRUE
Rio de Janeiro,BR-RJ,Brazil,F,20,Married,Other,2,5,TRUE,FALSE
Apeldoorn,NA,Netherlands,F,34,Married,Other,1,8,TRUE,FALSE
Beijing,NA,China,F,33,Married,Other,9,0,FALSE,TRUE
Salamanca,NA,Spain,F,22,Married,Other,0,5,TRUE,FALSE
Balneário Camboriú,BR-SC,Brazil,F,23,Married,Other,7,1,FALSE,TRUE
Fukuoka,NA,Japan,M,26,Single,Trades,5,0,FALSE,TRUE
Milano,NA,Italy,M,32,Married,Sales,6,1,FALSE,TRUE
New Delhi,NA,India,F,22,Single,Other,8,1,FALSE,TRUE
Köln,NA,Germany,F,34,Married,Other,2,0,FALSE,TRUE
Hadano,NA,Japan,M,27,Single,Professional,5,0,FALSE,TRUE
Saint Petersburg,NA,Russia,F,43,Married,Executive,3,6,TRUE,FALSE
Reggio Emilia,RE,Italy,F,48,Unspecified,Hospitality,6,3,FALSE,TRUE
Brescia,BS,Italy,F,31,Married,Hospitality,12,4,FALSE,TRUE
Antwerpen,NA,Belgium,M,26,Single,Student,10,1,FALSE,TRUE
Pamplona,NA,Spain,M,21,Single,Professional,5,2,FALSE,TRUE
Nova Iguaçu,BR-RJ,Brazil,M,26,Single,Trades,5,2,FALSE,TRUE
Suwon,NA,Korea,F,24,Single,Student,4,2,FALSE,TRUE
Kasugai,NA,Japan,F,23,Single,Professional,1,5,TRUE,FALSE
Kushiro,NA,Japan,M,29,Single,Other,9,1,FALSE,TRUE
Riverside,CA,United States,F,43,Unspecified,Hospitality,7,2,FALSE,TRUE
Gangleung,NA,Korea,M,38,Married,Executive,6,1,FALSE,TRUE
New Richmond,WI,United States,F,43,Married,Executive,4,0,FALSE,TRUE
Zaragoza,NA,Spain,M,21,Single,Other,10,2,FALSE,TRUE
Toulon,NA,France,F,28,Married,Retail,0,8,TRUE,FALSE
Chesterfield,NA,United Kingdom,F,40,Unspecified,Hospitality,0,2,TRUE,TRUE
Staten Island,NY,United States,M,41,Married,Executive,5,0,FALSE,TRUE
Linz,NA,Austria,M,23,Single,Trades,6,2,FALSE,TRUE
Saint-Etienne,NA,France,M,21,Single,Trades,4,1,FALSE,TRUE
Frogmore,NA,United Kingdom,F,45,Married,Executive,0,10,TRUE,FALSE
Stavropol,NA,Russia,M,21,Single,Other,8,2,FALSE,TRUE
Chongqing,NA,China,F,39,Married,Other,2,0,TRUE,TRUE
Shijiazhuang,NA,China,M,32,Married,Sales,7,1,FALSE,TRUE
Los Angeles,CA,United States,F,30,Married,Retail,2,5,TRUE,FALSE
Houston,TX,United States,F,44,Married,Other,8,2,FALSE,TRUE
Fukushima,NA,Japan,M,32,Married,Sales,2,7,TRUE,FALSE
Salem,OR,United States,M,35,Married,Trades,3,0,FALSE,TRUE
Zell am See,NA,Austria,M,28,Single,Sales,10,3,FALSE,TRUE
Kirensk,NA,Russia,M,31,Single,Other,2,4,TRUE,FALSE
Cangzhou,NA,China,M,32,Married,Other,6,1,FALSE,TRUE
Nimes,NA,France,M,22,Single,Trades,2,0,FALSE,TRUE
Dübendorf,NA,Switzerland,M,32,Single,Other,6,1,FALSE,TRUE
Barnaul,NA,Russia,F,31,Married,Other,4,1,FALSE,TRUE
Milano,MI,Italy,F,27,Single,Other,2,11,TRUE,FALSE
Jeonju,NA,Korea,F,39,Married,Other,0,6,TRUE,FALSE
Salmon Arm,BC,Canada,M,25,Single,Sales,3,1,FALSE,TRUE
Graz,NA,Austria,M,25,Single,Professional,7,3,FALSE,TRUE
Chemnitz,NA,Germany,M,19,Single,Other,7,2,FALSE,TRUE
Lambeth,NA,United Kingdom,M,27,Single,Sales,3,3,FALSE,TRUE
Shanghai,NA,China,M,25,Single,Trades,2,5,TRUE,FALSE
Ellenton,FL,United States,F,26,Single,Retail,8,2,FALSE,TRUE
Catania,CT,Italy,F,36,Married,Other,6,1,FALSE,TRUE
Orléans,NA,France,M,35,Single,Other,9,0,FALSE,TRUE
Madrid,M,Spain,M,32,Married,Trades,0,2,TRUE,TRUE
Singapore,Singapore,Singapore,F,42,Unspecified,Hospitality,13,0,FALSE,TRUE
Barcelona,B,Spain,M,26,Single,Other,7,1,FALSE,TRUE
Villach,NA,Austria,F,47,Married,Hospitality,8,2,FALSE,TRUE
Tokyo,NA,Japan,F,46,Married,Executive,1,9,TRUE,FALSE
Medicine Hat,AB,Canada,F,25,Married,Other,3,10,TRUE,FALSE
Basildon,NA,United Kingdom,F,32,Married,Retail,1,6,TRUE,FALSE
Leoben,NA,Austria,M,31,Married,Executive,5,1,FALSE,TRUE
Silkeborg,NA,Denmark,F,42,Unspecified,Hospitality,0,7,TRUE,FALSE
Niterói,BR-RJ,Brazil,F,34,Single,Retail,4,8,TRUE,FALSE
Hillingdon,NA,United Kingdom,M,28,Single,Professional,9,0,FALSE,TRUE
Perth,WA,Australia,F,41,Married,Other,8,1,FALSE,TRUE
Sapporo-shi,???,Japan,F,34,Single,Retail,2,4,TRUE,FALSE
Le Havre,NA,France,F,37,Unspecified,Hospitality,7,1,FALSE,TRUE
Saratov,NA,Russia,M,22,Single,Professional,9,1,FALSE,TRUE
Essen,NA,Germany,M,27,Single,Trades,7,2,FALSE,TRUE
Wadsworth,OH,United States,M,34,Married,Other,2,1,FALSE,TRUE
Bari,NA,Italy,M,25,Single,Other,7,1,FALSE,TRUE
Cheongju,NA,Korea,M,23,Single,Trades,3,2,FALSE,TRUE
Petrópolis,BR-RJ,Brazil,F,20,Single,Other,1,5,TRUE,FALSE
Volchansk,NA,Russia,F,41,Married,Other,3,1,TRUE,TRUE
Saint Petersburg,NA,Russia,M,44,Married,Sales,6,2,FALSE,TRUE
Canberra,ACT,Australia,M,19,Single,Other,4,1,FALSE,TRUE
Manaus,BR-AM,Brazil,F,33,Married,Other,7,1,FALSE,TRUE
Arnhem,NA,Netherlands,M,21,Single,Professional,3,2,FALSE,TRUE
Le Mans,NA,France,M,27,Single,Trades,4,2,FALSE,TRUE
Hadano,NA,Japan,F,27,Married,Other,2,8,TRUE,FALSE
Torreón,NA,Mexico,M,32,Single,Other,4,1,FALSE,TRUE
Hiroshima,NA,Japan,F,37,Married,Other,1,4,TRUE,TRUE
Campinas,BR-SP,Brazil,M,30,Single,Student,5,0,FALSE,TRUE
Renton,WA,United States,M,23,Single,Trades,3,3,FALSE,TRUE
Porto Alegre,BR-RS,Brazil,M,25,Single,Sales,7,1,FALSE,TRUE
Anchorage,AK,United States,F,22,Married,Other,2,7,TRUE,FALSE
Saugus,MA,United States,M,22,Single,Professional,3,1,FALSE,TRUE
Zapopan,NA,Mexico,M,38,Single,Sales,4,0,FALSE,TRUE
Graz,NA,Austria,F,34,Married,Executive,2,5,TRUE,FALSE
Westport,ON,Canada,F,42,Unspecified,Hospitality,8,1,FALSE,TRUE
Stuttgart,NA,Germany,M,22,Single,Other,6,2,FALSE,TRUE
Leipzig,NA,Germany,M,43,Married,Sales,8,2,FALSE,TRUE
Melbourne,FL,United States,M,19,Single,Professional,6,1,FALSE,TRUE
São João de Meriti,BR-RJ,Brazil,M,23,Single,Other,7,1,FALSE,TRUE
Rio de Janeiro,BR-RJ,Brazil,F,38,Married,Other,3,7,TRUE,FALSE
Dresden,NA,Germany,M,19,Single,Student,7,1,FALSE,TRUE
Beijing,NA,China,F,46,Married,Hospitality,3,5,TRUE,FALSE
Charleroi,NA,Belgium,M,24,Single,Professional,3,2,FALSE,TRUE
Chennai,NA,India,M,23,Single,Student,7,1,FALSE,TRUE
Virginia Beach,VA,United States,F,26,Single,Professional,10,2,FALSE,TRUE
Brisbane,Qld,Australia,M,27,Single,Professional,9,2,FALSE,TRUE
Chiba,NA,Japan,M,24,Single,Other,6,1,FALSE,TRUE
Overland Park,KS,United States,M,38,Married,Sales,2,1,FALSE,TRUE
Kalispell,MT,United States,M,36,Married,Sales,0,7,TRUE,FALSE
Braunschweig,NA,Germany,M,24,Single,Other,6,2,FALSE,TRUE
Banglore,KA,India,F,20,Married,Other,2,6,TRUE,FALSE
Ufa,NA,Russia,M,22,Single,Sales,8,2,FALSE,TRUE
Bonn,NA,Germany,M,25,Single,Professional,8,2,FALSE,TRUE
Dordrecht,NA,Netherlands,F,30,Married,Retail,0,9,TRUE,FALSE
Singapore,Singapore,Singapore,M,21,Single,Trades,8,0,FALSE,TRUE
Springfield,VA,United States,M,31,Married,Sales,8,3,FALSE,TRUE
Cangzhou,NA,China,F,28,Single,Other,5,1,FALSE,TRUE
Salt Lake City,UT,United States,M,25,Single,Other,9,0,FALSE,TRUE
Bordeaux,NA,France,M,20,Single,Sales,8,1,FALSE,TRUE
Newham,NA,United Kingdom,M,34,Married,Trades,6,2,FALSE,TRUE
Shanghai,NA,China,M,42,Married,Other,3,8,TRUE,FALSE
Timóteo,BR-MG,Brazil,F,39,Married,Other,2,6,TRUE,FALSE
Trois-Rivières,QC,Canada,M,24,Single,Professional,2,0,FALSE,TRUE
Århus,NA,Denmark,F,33,Married,Retail,3,8,TRUE,FALSE
Skive,NA,Denmark,M,28,Single,Sales,7,1,FALSE,TRUE
Essen,NA,Germany,M,22,Single,Other,5,1,FALSE,TRUE
São Paulo,BR-SP,Brazil,F,26,Single,Other,10,1,FALSE,TRUE
Taos,NM,United States,M,25,Single,Trades,6,1,FALSE,TRUE
Chongqing,NA,China,M,32,Married,Trades,9,1,FALSE,TRUE
Fukuoka,NA,Japan,M,29,Single,Executive,5,1,FALSE,TRUE
Chicago,IL,United States,M,24,Single,Professional,7,3,FALSE,TRUE
Burbank,CA,United States,M,33,Single,Other,6,2,FALSE,TRUE
Fredericia,NA,Denmark,M,29,Single,Sales,9,0,FALSE,TRUE
Sydney,NSW,Australia,M,25,Single,Professional,6,2,FALSE,TRUE
Zaragoza,NA,Spain,M,25,Single,Other,3,2,FALSE,TRUE
Brussel,NA,Belgium,M,24,Single,Other,5,1,FALSE,TRUE
Sydney,NSW,Australia,F,44,Married,Other,6,3,FALSE,TRUE
Denver,CO,United States,M,32,Single,Trades,11,3,FALSE,TRUE
São Paulo,BR-SP,Brazil,F,36,Married,Retail,1,1,TRUE,TRUE
Salerno,SA,Italy,F,39,Married,Other,5,2,FALSE,TRUE
Schladming,NA,Austria,M,40,Married,Sales,6,0,FALSE,TRUE
Cangzhou,NA,China,M,24,Single,Trades,4,1,FALSE,TRUE
Perth,WA,Australia,M,23,Single,Trades,6,3,FALSE,TRUE
Suwon,NA,Korea,F,32,Married,Executive,8,2,FALSE,TRUE
Hong Kong,NA,China,F,40,Unspecified,Hospitality,6,0,FALSE,TRUE
Victoria,NA,Mexico,M,39,Married,Professional,7,2,FALSE,TRUE
Sendai,NA,Japan,M,30,Single,Sales,11,0,FALSE,TRUE
Bogalusa,LA,United States,F,37,Unspecified,Hospitality,8,1,FALSE,TRUE
Sikar,RJ,India,M,29,Single,Executive,8,1,FALSE,TRUE
Schoten,NA,Belgium,M,27,Single,Other,4,1,FALSE,TRUE
Nanaimo,BC,Canada,M,22,Single,Trades,11,2,FALSE,TRUE
Trois-Rivières,QC,Canada,M,39,Single,Sales,9,1,FALSE,TRUE
Lausanne,NA,Switzerland,M,33,Married,Sales,6,0,FALSE,TRUE
Brooklyn,NY,United States,M,29,Single,Other,9,0,FALSE,TRUE
Nago,NA,Japan,F,33,Married,Other,5,1,FALSE,TRUE
Lowestoft,NA,United Kingdom,F,38,Married,Other,4,1,FALSE,TRUE
Liverpool,NA,United Kingdom,M,31,Single,Professional,8,3,FALSE,TRUE
Dresden,NA,Germany,M,27,Single,Trades,7,2,FALSE,TRUE
Tours,NA,France,F,33,Married,Executive,6,0,FALSE,TRUE
Shijiazhuang,NA,China,M,35,Married,Other,5,2,FALSE,TRUE
Edmonton,AB,Canada,F,34,Single,Retail,2,8,TRUE,FALSE
Limoges,NA,France,F,45,Married,Other,0,2,TRUE,TRUE
Regensburg,NA,Germany,M,23,Single,Professional,8,1,FALSE,TRUE
Oviedo,O,Spain,M,44,Married,Sales,3,1,FALSE,TRUE
Colorado Springs,CO,United States,F,25,Married,Retail,3,9,TRUE,FALSE
Boston,MA,United States,M,21,Single,Trades,6,3,FALSE,TRUE
Beijing,NA,China,M,22,Single,Trades,6,2,FALSE,TRUE
Franklin Park,IL,United States,F,32,Unspecified,Other,0,5,TRUE,FALSE
